рр.	S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД
басс.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
бесцв.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
биол.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
биофиз.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
биохим.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
ботан.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
бронз.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
бум.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
в.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
в._д.	S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
вв.	S@МН@МУЖ@РОД@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@МН@МУЖ@МЕСТН@НЕОД
вдхр.	S@ЕД@СРЕД@ВИН@НЕОД,S@МН@СРЕД@ИМ@НЕОД,S@ЕД@СРЕД@РОД@НЕОД,S@МН@СРЕД@РОД@НЕОД,S@ЕД@СРЕД@ИМ@НЕОД,S@МН@СРЕД@ПР@НЕОД,S@ЕД@СРЕД@ТВОР@НЕОД,S@ЕД@СРЕД@ПР@НЕОД,S@МН@СРЕД@ДАТ@НЕОД,S@ЕД@СРЕД@ДАТ@НЕОД,S@МН@СРЕД@ТВОР@НЕОД,S@МН@СРЕД@ВИН@НЕОД,S@ЕД@ИМ@СРЕД@НЕОД,S@МН@ИМ@СРЕД@НЕОД
внеш.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
внутр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
вод.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
водоизмещ.	S@ЕД@СРЕД@ВИН@НЕОД,S@МН@СРЕД@ИМ@НЕОД,S@ЕД@СРЕД@РОД@НЕОД,S@МН@СРЕД@РОД@НЕОД,S@ЕД@СРЕД@ИМ@НЕОД,S@МН@СРЕД@ПР@НЕОД,S@ЕД@СРЕД@ТВОР@НЕОД,S@ЕД@СРЕД@ПР@НЕОД,S@МН@СРЕД@ДАТ@НЕОД,S@ЕД@СРЕД@ДАТ@НЕОД,S@МН@СРЕД@ТВОР@НЕОД,S@МН@СРЕД@ВИН@НЕОД,S@ЕД@ИМ@СРЕД@НЕОД,S@МН@ИМ@СРЕД@НЕОД
воен.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
возв.	S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
возд.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
вост.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
Всерос.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
Всес.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
выс.	S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
высш.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
г.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД,S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
гг.	S@МН@МУЖ@РОД@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@МН@МУЖ@МЕСТН@НЕОД
геогр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
геод.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
геол.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
геом.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
геоморфол.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
